Sr No.,Symbol,Instrument Type,Normal ELM Margin%,Additional ELM% for Trade Date 05-Aug-2024,Total applicable ELM%
159,HINDPETRO,OTH,3.5,0,3.5
160,HINDPETRO,OTM,5.25,0,5.25
161,HINDUNILVR,OTH,3.5,0,3.5
162,HINDUNILVR,OTM,5.25,0,5.25
163,ICICIBANK,OTH,3.5,0,3.5
164,ICICIBANK,OTM,5.25,0,5.25
165,ICICIGI,OTH,3.5,0,3.5
166,ICICIGI,OTM,5.25,0,5.25
167,ICICIPRULI,OTH,3.5,0,3.5
168,ICICIPRULI,OTM,5.25,0,5.25
169,IDEA,OTH,3.5,15,18.5
170,IDEA,OTM,5.25,15,20.25
171,IDFC,OTH,3.5,0,3.5
172,IDFC,OTM,5.25,0,5.25
173,IDFCFIRSTB,OTH,3.5,3.5,7
174,IDFCFIRSTB,OTM,5.25,5.25,10.5
175,IEX,OTH,3.5,1.75,5.25
176,IEX,OTM,5.25,2.63,7.88
177,IGL,OTH,3.5,0,3.5
178,IGL,OTM,5.25,0,5.25
179,INDHOTEL,OTH,3.5,0,3.5
180,INDHOTEL,OTM,5.25,0,5.25
181,INDIACEM,OTH,3.5,10.5,14
182,INDIACEM,OTM,5.25,15.75,21
183,INDIAMART,OTH,3.5,10.5,14
184,INDIAMART,OTM,5.25,15.75,21
185,INDIGO,OTH,3.5,0,3.5
186,INDIGO,OTM,5.25,0,5.25
187,INDUSINDBK,OTH,3.5,0,3.5
188,INDUSINDBK,OTM,5.25,0,5.25
189,INDUSTOWER,OTH,3.5,0,3.5
190,INDUSTOWER,OTM,5.25,0,5.25
191,INFY,OTH,3.5,0,3.5
192,INFY,OTM,5.25,0,5.25
193,IOC,OTH,3.5,0,3.5
194,IOC,OTM,5.25,0,5.25
195,IPCALAB,OTH,3.5,0,3.5
196,IPCALAB,OTM,5.25,0,5.25
197,IRCTC,OTH,3.5,0,3.5
198,IRCTC,OTM,5.25,0,5.25
199,ITC,OTH,3.5,0,3.5
200,ITC,OTM,5.25,0,5.25
201,JINDALSTEL,OTH,3.5,0,3.5
202,JINDALSTEL,OTM,5.25,0,5.25
203,JKCEMENT,OTH,3.5,0,3.5
204,JKCEMENT,OTM,5.25,0,5.25
205,JSWSTEEL,OTH,3.5,0,3.5
206,JSWSTEEL,OTM,5.25,0,5.25
207,JUBLFOOD,OTH,3.5,0,3.5
208,JUBLFOOD,OTM,5.25,0,5.25
209,KOTAKBANK,OTH,3.5,0,3.5
210,KOTAKBANK,OTM,5.25,0,5.25
211,LALPATHLAB,OTH,3.5,0,3.5
212,LALPATHLAB,OTM,5.25,0,5.25
213,LAURUSLABS,OTH,3.5,0,3.5
214,LAURUSLABS,OTM,5.25,0,5.25
215,LICHSGFIN,OTH,3.5,3.5,7
216,LICHSGFIN,OTM,5.25,5.25,10.5
217,LT,OTH,3.5,0,3.5
218,LT,OTM,5.25,0,5.25
219,LTF,OTH,3.5,0,3.5
220,LTF,OTM,5.25,0,5.25
221,LTIM,OTH,3.5,0,3.5
222,LTIM,OTM,5.25,0,5.25
223,LTTS,OTH,3.5,0,3.5
224,LTTS,OTM,5.25,0,5.25
225,LUPIN,OTH,3.5,0,3.5
226,LUPIN,OTM,5.25,0,5.25
227,M&M,OTH,3.5,0,3.5
228,M&M,OTM,5.25,0,5.25
229,M&MFIN,OTH,3.5,0,3.5
230,M&MFIN,OTM,5.25,0,5.25
231,MANAPPURAM,OTH,3.5,10.5,14
232,MANAPPURAM,OTM,5.25,15.75,21
233,MARICO,OTH,3.5,0,3.5
234,MARICO,OTM,5.25,0,5.25
235,MARUTI,OTH,3.5,0,3.5
236,MARUTI,OTM,5.25,0,5.25
237,MCX,OTH,3.5,0,3.5
238,MCX,OTM,5.25,0,5.25
239,METROPOLIS,OTH,3.5,0,3.5
240,METROPOLIS,OTM,5.25,0,5.25
241,MFSL,OTH,3.5,0,3.5
242,MFSL,OTM,5.25,0,5.25
243,MGL,OTH,3.5,0,3.5
244,MGL,OTM,5.25,0,5.25
245,MOTHERSON,OTH,3.5,0,3.5
246,MOTHERSON,OTM,5.25,0,5.25
247,MPHASIS,OTH,3.5,0,3.5
248,MPHASIS,OTM,5.25,0,5.25
249,MRF,OTH,3.5,0,3.5
250,MRF,OTM,5.25,0,5.25
251,MUTHOOTFIN,OTH,3.5,0,3.5
252,MUTHOOTFIN,OTM,5.25,0,5.25
253,NATIONALUM,OTH,3.5,0,3.5
254,NATIONALUM,OTM,5.25,0,5.25
255,NAUKRI,OTH,3.5,0,3.5
256,NAUKRI,OTM,5.25,0,5.25
257,NAVINFLUOR,OTH,3.5,0,3.5
258,NAVINFLUOR,OTM,5.25,0,5.25
259,NESTLEIND,OTH,3.5,0,3.5
260,NESTLEIND,OTM,5.25,0,5.25
261,NMDC,OTH,3.5,0,3.5
262,NMDC,OTM,5.25,0,5.25
263,NTPC,OTH,3.5,0,3.5
264,NTPC,OTM,5.25,0,5.25
265,OBEROIRLTY,OTH,3.5,0,3.5
266,OBEROIRLTY,OTM,5.25,0,5.25
267,OFSS,OTH,3.5,0,3.5
268,OFSS,OTM,5.25,0,5.25
269,ONGC,OTH,3.5,0,3.5
270,ONGC,OTM,5.25,0,5.25
271,PAGEIND,OTH,3.5,0,3.5
272,PAGEIND,OTM,5.25,0,5.25
273,PEL,OTH,3.5,0,3.5
274,PEL,OTM,5.25,0,5.25
275,PERSISTENT,OTH,3.5,0,3.5
276,PERSISTENT,OTM,5.25,0,5.25
277,PETRONET,OTH,3.5,0,3.5
278,PETRONET,OTM,5.25,0,5.25
279,PFC,OTH,3.5,0,3.5
280,PFC,OTM,5.25,0,5.25
281,PIDILITIND,OTH,3.5,0,3.5
282,PIDILITIND,OTM,5.25,0,5.25
283,PIIND,OTH,3.5,0,3.5
284,PIIND,OTM,5.25,0,5.25
285,PNB,OTH,3.5,3.5,7
286,PNB,OTM,5.25,5.25,10.5
287,POLYCAB,OTH,3.5,0,3.5
288,POLYCAB,OTM,5.25,0,5.25
289,POWERGRID,OTH,3.5,0,3.5
290,POWERGRID,OTM,5.25,0,5.25
291,PVRINOX,OTH,3.5,0,3.5
292,PVRINOX,OTM,5.25,0,5.25
293,RAMCOCEM,OTH,3.5,0,3.5
294,RAMCOCEM,OTM,5.25,0,5.25
295,RBLBANK,OTH,3.5,10.5,14
296,RBLBANK,OTM,5.25,15.75,21
297,RECLTD,OTH,3.5,0,3.5
298,RECLTD,OTM,5.25,0,5.25
299,RELIANCE,OTH,3.5,0,3.5
300,RELIANCE,OTM,5.25,0,5.25
301,SAIL,OTH,3.5,15,18.5
302,SAIL,OTM,5.25,15,20.25
303,SBICARD,OTH,3.5,1.75,5.25
304,SBICARD,OTM,5.25,2.63,7.88
305,SBILIFE,OTH,3.5,0,3.5
306,SBILIFE,OTM,5.25,0,5.25
307,SBIN,OTH,3.5,0,3.5
308,SBIN,OTM,5.25,0,5.25
309,SHREECEM,OTH,3.5,0,3.5
310,SHREECEM,OTM,5.25,0,5.25
311,SHRIRAMFIN,OTH,3.5,0,3.5
312,SHRIRAMFIN,OTM,5.25,0,5.25
313,SIEMENS,OTH,3.5,0,3.5
314,SIEMENS,OTM,5.25,0,5.25
315,SRF,OTH,3.5,0,3.5
316,SRF,OTM,5.25,0,5.25
317,SUNPHARMA,OTH,3.5,0,3.5
318,SUNPHARMA,OTM,5.25,0,5.25
319,SUNTV,OTH,3.5,0,3.5
320,SUNTV,OTM,5.25,0,5.25
321,SYNGENE,OTH,3.5,0,3.5
322,SYNGENE,OTM,5.25,0,5.25
323,TATACHEM,OTH,3.5,0,3.5
324,TATACHEM,OTM,5.25,0,5.25
325,TATACOMM,OTH,3.5,0,3.5
326,TATACOMM,OTM,5.25,0,5.25
327,TATACONSUM,OTH,3.5,0,3.5
328,TATACONSUM,OTM,5.25,0,5.25
329,TATAMOTORS,OTH,3.5,0,3.5
330,TATAMOTORS,OTM,5.25,0,5.25
331,TATAPOWER,OTH,3.5,0,3.5
332,TATAPOWER,OTM,5.25,0,5.25
333,TATASTEEL,OTH,3.5,0,3.5
334,TATASTEEL,OTM,5.25,0,5.25
335,TCS,OTH,3.5,0,3.5
336,TCS,OTM,5.25,0,5.25
337,TECHM,OTH,3.5,0,3.5
338,TECHM,OTM,5.25,0,5.25
339,TITAN,OTH,3.5,0,3.5
340,TITAN,OTM,5.25,0,5.25
341,TORNTPHARM,OTH,3.5,0,3.5
342,TORNTPHARM,OTM,5.25,0,5.25
343,TRENT,OTH,3.5,0,3.5
344,TRENT,OTM,5.25,0,5.25
345,TVSMOTOR,OTH,3.5,0,3.5
346,TVSMOTOR,OTM,5.25,0,5.25
347,UBL,OTH,3.5,0,3.5
348,UBL,OTM,5.25,0,5.25
349,ULTRACEMCO,OTH,3.5,0,3.5
350,ULTRACEMCO,OTM,5.25,0,5.25
351,UNITDSPR,OTH,3.5,0,3.5
352,UNITDSPR,OTM,5.25,0,5.25
353,UPL,OTH,3.5,0,3.5
354,UPL,OTM,5.25,0,5.25
355,VEDL,OTH,3.5,1.75,5.25
356,VEDL,OTM,5.25,2.63,7.88
357,VOLTAS,OTH,3.5,0,3.5
358,VOLTAS,OTM,5.25,0,5.25
359,WIPRO,OTH,3.5,0,3.5
360,WIPRO,OTM,5.25,0,5.25
361,ZYDUSLIFE,OTH,3.5,0,3.5
362,ZYDUSLIFE,OTM,5.25,0,5.25
